user_id,anime_id,user_rating,name,genre,type,episodes,anime_avg_rating,members,image_url
54560,759,8,Tokyo Godfathers,Comedy,Movie,1,8.32,89424,https://cdn.myanimelist.net/images/anime/1480/132791.jpg
57090,28755,8,Boruto: Naruto the Movie,Martial Arts,Movie,1,8.03,74690,https://cdn.myanimelist.net/images/anime/4/78280.jpg
38384,1535,8,Death Note,Mystery,TV,37,8.71,1013917,https://cdn.myanimelist.net/images/anime/1079/138100.jpg
24218,512,10,Majo no Takkyuubin,Drama,Movie,1,8.27,152331,https://cdn.myanimelist.net/images/anime/1579/140483.jpg
71461,18897,8,Nisekoi,Shounen,TV,20,7.91,347599,https://cdn.myanimelist.net/images/anime/13/75587.jpg
17608,11111,7,Another,Supernatural,TV,12,7.88,534657,https://cdn.myanimelist.net/images/anime/4/75509.jpg
14809,16498,10,Shingeki no Kyojin,Fantasy,TV,25,8.54,896229,https://cdn.myanimelist.net/images/anime/10/47347.jpg
16977,376,10,Elfen Lied Special,Ecchi,Special,1,7.34,116129,https://cdn.myanimelist.net/images/anime/1936/121639.jpg
50237,134,8,Gunslinger Girl,Action,TV,13,7.55,106865,https://cdn.myanimelist.net/images/anime/5/3088.jpg
26446,1505,7,Detective Conan Movie 09: Strategy Above the Depths,Shounen,Movie,1,7.94,20347,https://cdn.myanimelist.net/images/anime/8/20983.jpg
66589,120,9,Fruits Basket,Drama,TV,26,7.8,242553,https://cdn.myanimelist.net/images/anime/4/75204.jpg
17732,20,8,Naruto,Action,TV,220,7.81,683297,https://cdn.myanimelist.net/images/anime/1141/142503.jpg
65273,419,7,Samurai Deeper Kyou,Shounen,TV,26,7.02,38580,https://cdn.myanimelist.net/images/anime/1376/147349.jpg
57513,882,6,Yuu☆Yuu☆Hakusho (Movie),Adventure,Movie,1,6.97,13904,https://cdn.myanimelist.net/images/anime/1807/125752.jpg
26323,79,9,Shuffle!,School,TV,24,7.31,158772,https://cdn.myanimelist.net/images/anime/1290/133860.jpg
3803,355,8,Shakugan no Shana,Drama,TV,24,7.74,297058,https://cdn.myanimelist.net/images/anime/8/21197.jpg
16338,5680,7,K-On!,Slice of Life,TV,13,7.87,386048,https://cdn.myanimelist.net/images/anime/10/76120.jpg
39419,9135,5,Fullmetal Alchemist: The Sacred Star of Milos,Action,Movie,1,7.5,87944,https://cdn.myanimelist.net/images/anime/2/29550.jpg
65471,12879,8,Dantalian no Shoka: Ibarahime,Action,OVA,1,7.24,14079,https://cdn.myanimelist.net/images/anime/1315/150216.jpg
5357,12471,6,Eureka Seven AO,Action,TV,24,6.88,56453,https://cdn.myanimelist.net/images/anime/1964/150161.jpg
53946,9335,7,Megane na Kanojo,School,OVA,4,6.78,10119,https://cdn.myanimelist.net/images/anime/1358/112335.jpg
66159,100,9,Shin Shirayuki-hime Densetsu Prétear,Drama,TV,13,7.33,37394,https://cdn.myanimelist.net/images/anime/9/11709.jpg
34872,1579,7,Kiniro no Corda: Primo Passo,Romance,TV,25,7.69,63134,https://cdn.myanimelist.net/images/anime/9/7228.jpg
43410,13125,8,Shinsekai yori,Horror,TV,25,8.53,288376,https://cdn.myanimelist.net/images/anime/1549/136389.jpg
44608,5530,7,Pandora Hearts,Shounen,TV,25,7.92,229567,https://cdn.myanimelist.net/images/anime/4/75535.jpg
12178,819,10,Boku wa Imouto ni Koi wo Suru,Shoujo,OVA,1,6.57,26923,https://cdn.myanimelist.net/images/anime/1178/121937.jpg
14037,30276,10,One Punch Man,Parody,TV,12,8.82,552458,https://cdn.myanimelist.net/images/anime/12/76049.jpg
49495,169,7,Shingetsutan Tsukihime,Mystery,TV,12,7.1,90713,https://cdn.myanimelist.net/images/anime/12/20669.jpg
69985,1840,5,Zero no Tsukaima: Futatsuki no Kishi,Adventure,TV,12,7.73,235684,https://cdn.myanimelist.net/images/anime/2/22740.jpg
56042,7592,9,Nurarihyon no Mago,Demons,TV,24,7.78,122976,https://cdn.myanimelist.net/images/anime/9/75631.jpg
48164,22535,8,Kiseijuu: Sei no Kakuritsu,Horror,TV,24,8.59,425457,https://cdn.myanimelist.net/images/anime/3/73178.jpg
30027,2251,10,Baccano!,Action,TV,13,8.54,363215,https://cdn.myanimelist.net/images/anime/3/14547.jpg
9032,1089,10,Macross: Do You Remember Love?,Space,Movie,1,8.09,19240,https://cdn.myanimelist.net/images/anime/1080/107017.jpg
58332,181,10,Vandread: The Second Stage,Action,TV,13,7.54,36264,https://cdn.myanimelist.net/images/anime/4/75447.jpg
17361,9982,10,Fairy Tail OVA,Comedy,OVA,5,7.83,83421,https://cdn.myanimelist.net/images/anime/10/65661.jpg
71651,801,9,Ghost in the Shell: Stand Alone Complex 2nd GIG,Police,TV,26,8.57,113993,https://cdn.myanimelist.net/images/anime/1646/135390.jpg
49171,552,8,Digimon Adventure,Comedy,TV,54,7.89,182208,https://cdn.myanimelist.net/images/anime/1471/99249.jpg
59178,550,7,Yu☆Gi☆Oh!,Action,TV,27,7.29,89243,https://cdn.myanimelist.net/images/anime/4/47487.jpg
61055,16001,9,Kokoro Connect: Michi Random,Supernatural,Special,4,8.19,106989,https://cdn.myanimelist.net/images/anime/10/45526.jpg
32609,9919,9,Ao no Exorcist,Fantasy,TV,25,7.92,583823,https://cdn.myanimelist.net/images/anime/10/75195.jpg
69620,905,8,Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,Sci-Fi,Movie,1,7.72,56994,https://cdn.myanimelist.net/images/anime/1015/93675.jpg
51966,1410,8,IGPX: Immortal Grand Prix (2005) 2nd Season,Mecha,TV,13,7.41,6863,https://cdn.myanimelist.net/images/anime/3/21721.jpg
21329,19221,9,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",School,TV,10,7.55,179569,https://cdn.myanimelist.net/images/anime/10/53235.jpg
37197,11741,9,Fate/Zero 2nd Season,Action,TV,12,8.73,340973,https://cdn.myanimelist.net/images/anime/1522/117645.jpg
2683,1943,8,Paprika,Horror,Movie,1,8.15,163308,https://cdn.myanimelist.net/images/anime/1929/93629.jpg
34414,177,2,Tsubasa Chronicle,Adventure,TV,26,7.67,134705,https://cdn.myanimelist.net/images/anime/9/6555.jpg
5826,15335,7,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,Historical,Movie,1,9.1,72534,https://cdn.myanimelist.net/images/anime/10/51723.jpg
22205,998,9,Blue Seed,Comedy,TV,26,7.13,15194,https://cdn.myanimelist.net/images/anime/1151/117019.jpg
5769,3702,10,Detroit Metal City,Music,OVA,12,8.26,104893,https://cdn.myanimelist.net/images/anime/3/9853.jpg
